"Gene","CCI_observed","FullPerm_null_mean","FullPerm_null_sd","FullPerm_null_median","FullPerm_valid_n","SharedWeight_null_mean","Delta_null_mean","Delta_null_pct"
"SLC7A11",0.197044646771594,0.381652008856317,0.28608327579099,0.309622378052479,100,0.619278610931475,-0.237626602075158,38.3715177434817
"IFNG",0.12333694128811,0.358138365305456,0.25933893247958,0.301025010313966,100,0.482613998084841,-0.124475632779385,25.7919648566645
"TFRC",0.34675798604792,0.431623314627138,0.295248556088419,0.355802155663161,100,0.579612180093548,-0.14798886546641,25.5323939953305
"FTH1",0.263350066677811,0.387268204936391,0.262802262313692,0.333428704061205,100,0.55262622864563,-0.165358023709239,29.9222177916702
"TNF",0.0373670681200283,0.408860774487393,0.309974121341335,0.356772500200495,100,0.617540276002832,-0.208679501515439,33.7920471950694
"IL1B",0.030044558170085,0.395557002108117,0.300809995165934,0.327000289717086,100,0.667523863752377,-0.27196686164426,40.7426425349713
"NFKB1",0.122208693807864,0.404316551575991,0.304832409019956,0.3187901591866,100,0.611095635861472,-0.206779084285481,33.8374342984762
"FTL",0.738704980492024,0.398486416704567,0.270453890230575,0.370439759799819,100,0.49706685838951,-0.0985804416849426,19.8324309941608
"STAT3",0.174001127371523,0.355037952283114,0.277745138435595,0.272696200512351,100,0.493943726458747,-0.138905774175633,28.1217812343718
"JAK2",0.468761928559321,0.259086651365265,0.204646617585836,0.226830936290924,100,0.451868971842657,-0.192782320477392,42.6633233282766
"NFE2L2",0.581151405633439,0.42704991961453,0.281654217708236,0.401840860108856,100,0.460335311402325,-0.0332853917877949,7.23068401735188
"SLC25A37",0.555277841316127,0.50187325446725,0.318774169822298,0.473209845446844,100,0.732979592495894,-0.231106338028643,31.5297097483568
"CXCL8",0.0246258246120391,0.393995631559539,0.321919471641413,0.279110105102986,100,0.695854583933166,-0.301858952373627,43.3796024835298
"SLC40A1",1,0.304371338665511,0.246762129820351,0.256579563490873,100,0.4282450007256,-0.123873662060089,28.925886315124
"IL6",0.193678866674951,0.403323437500138,0.301765579665734,0.338243517574125,100,0.652462803540226,-0.249139366040088,38.1844550659857
"GPX4",0.1350357622351,0.275798838660385,0.241923318739306,0.203984589119961,100,0.281609304101994,-0.00581046544160885,2.06330733998206
"GCLM",0.423491955360358,0.444642690597694,0.314063917410744,0.403584448444613,100,0.690693800306388,-0.246051109708694,35.6237611514027
"HMOX1",0.828796571620236,0.201420155880158,0.172238709436348,0.151120530619421,100,0.290502439945302,-0.0890822840651444,30.664900467589
"STAT1",0.820324998037247,0.296190959002232,0.232375058191832,0.22877206970769,100,0.333343265022088,-0.0371523060198555,11.145359729225
"NCOA4",1,0.309318360176918,0.24083617438906,0.25511377382316,100,0.510068667889188,-0.20075030771227,39.3575062242175
