"Gene","CCI_default_helmert","CCI_inverse_helmert","CCI_forward_differences","CCI_first_vs_rest","CCI_mean","CCI_sd","CCI_min","CCI_max","CCI_range"
"SLC7A11",0.0344540477770346,0.0556577420887498,0.0485909169857415,0.00831762866729315,0.0367550838797048,0.0209075828252626,0.00831762866729315,0.0556577420887498,0.0473401134214567
"IFNG",0.612844041293624,0.154220254531502,0.651827646141023,0.531298101025132,0.48754751074782,0.22782182902284,0.154220254531502,0.651827646141023,0.49760739160952
"TFRC",0.200768616886315,0.0213664530709313,0.146254244238342,0.306397401058822,0.168696678813602,0.118602917903462,0.0213664530709313,0.306397401058822,0.28503094798789
"FTH1",0.235539727451139,0.222094339340981,0.147846410731938,0.294903857601765,0.225096083781456,0.0604392737514005,0.147846410731938,0.294903857601765,0.147057446869828
"TNF",0.130338581418232,0.0169493941969109,0.10821125199334,0.134956994934884,0.0976140556358418,0.0550287133500049,0.0169493941969109,0.134956994934884,0.118007600737973
"IL1B",0.0304163307429278,0.0040810931202249,0.0246462803615167,0.0421246202392461,0.0253170811159789,0.0159155362036187,0.0040810931202249,0.0421246202392461,0.0380435271190212
"NFKB1",0.0945310011208543,0.0489148539227287,0.037313639962894,0.0955199206770896,0.0690698539208917,0.0303455499099817,0.037313639962894,0.0955199206770896,0.0582062807141956
"FTL",0.0532781374978673,0.0525170814530928,0.319697066988428,0.0832519333837641,0.127186054830788,0.129136275124446,0.0525170814530928,0.319697066988428,0.267179985535335
"STAT3",0.191724207877226,0.00980190217952823,0.161037805370133,0.307446089731022,0.167502501289477,0.122586255712574,0.00980190217952823,0.307446089731022,0.297644187551493
"JAK2",0.0706088508173777,0.0315433318691572,0.00346538688374087,0.243502472873041,0.0872800106108291,0.107726279356204,0.00346538688374087,0.243502472873041,0.2400370859893
"NFE2L2",1,0.512063637941741,0.92178752854752,1,0.858462791622315,0.233857477029608,0.512063637941741,1,0.487936362058259
"SLC25A37",0.11495371653288,0.127472476222,0.0703480220620709,0.128063906632903,0.110209530362464,0.0272533496299541,0.0703480220620709,0.128063906632903,0.0577158845708322
"CXCL8",0.00149082153239247,0.042458253214169,0.0472225225191234,0.0516405374817553,0.03570303368686,0.0231142892423235,0.00149082153239247,0.0516405374817553,0.0501497159493629
"SLC40A1",0.0185009832662401,0.382275698305943,0.43914970014666,0.0922332400484343,0.233039905441819,0.208651252486471,0.0185009832662401,0.43914970014666,0.42064871688042
"IL6",0.167442107881022,0.00600582911868994,0.114799199123929,0.168528002731055,0.114193784713674,0.0763600930463136,0.00600582911868994,0.168528002731055,0.162522173612365
"GPX4",0.658371661271527,0.402053316462463,0.479679020503512,0.879052454498371,0.604789113183969,0.212010855391347,0.402053316462463,0.879052454498371,0.476999138035908
"GCLM",0.118712209208887,0.0521995833708726,0.00159126856754948,0.106669967255252,0.0697932571006403,0.0538949726238405,0.00159126856754948,0.118712209208887,0.117120940641338
"HMOX1",0.839380290764565,0.221968904535046,0.696365781332755,0.756416213722114,0.62853279758862,0.27731230668632,0.221968904535046,0.839380290764565,0.61741138622952
"STAT1",1,0.0897302330079431,1,1,0.772432558251986,0.455134883496029,0.0897302330079431,1,0.910269766992057
"NCOA4",0.24142308556001,0.316852040553911,0.858737481768526,0.282195349249585,0.424801989283008,0.290928215190354,0.24142308556001,0.858737481768526,0.617314396208516
