"","CD8_Tcells","CD4_Tcells","NK_cells","B_cells","Monocytes","Macrophages","Neutrophils","Erythrocytes","Hematopoietic_Stem"
"SLC7A11",-0.516138125440451,-0.466948555320648,-0.361240310077519,-0.640873854827343,-0.34785059901339,-0.148555320648344,0.446652572233968,0.324876673713883,0.104298801973221
"SLC25A37",-0.461733615221987,-0.526849894291755,-0.38985200845666,-0.531219168428471,-0.114728682170543,-0.125440451021846,0.637773079633545,0.841155743481325,0.101479915433404
"GCLM",-0.382241014799154,-0.338266384778013,-0.267089499647639,-0.458210007047216,-0.390556730091614,-0.258491895701198,0.345736434108527,0.377871740662438,0.147991543340381
"GPX4",-0.0775193798449612,-0.0365045806906272,-0.21183932346723,-0.281888653981677,0.254122621564482,0.28907681465821,0.261733615221987,0.207047216349542,-0.0126849894291755
"FTH1",-0.331642001409443,-0.514164904862579,-0.239605355884426,-0.599577167019028,0.101198026779422,0.197603946441156,0.712332628611698,0.398449612403101,-0.00676532769556025
"FTL",-0.457646229739253,-0.640732910500352,-0.28231148696265,-0.609443269908386,0.3646229739253,0.31768851303735,0.599295278365046,0.428329809725159,0.339393939393939
"TFRC",-0.497110641296688,-0.456236786469345,-0.243410852713178,-0.410711768851304,-0.231430584918957,-0.260606060606061,0.368710359408034,0.36138125440451,-0.129950669485553
"HMOX1",-0.0787878787878788,-0.400986610288936,0.0190274841437632,-0.274700493305144,0.500493305144468,0.358280479210712,0.300070472163495,0.0194503171247357,0.13107822410148
"SLC40A1",-0.372938689217759,-0.018322762508809,-0.421423537702607,-0.192529950669486,-0.00859760394644116,0.0886539816772375,-0.0487667371388302,0.256800563777308,0.272868217054264
"NCOA4",-0.174066243833686,-0.337279774489077,-0.0462297392529951,-0.220295983086681,0.367582804792107,0.283016208597604,0.162508809020437,0.21508104298802,0.454263565891473
"ACSL4",-0.543904157857646,-0.397463002114165,-0.407188160676533,-0.435940803382664,-0.221282593375617,-0.00422832980972516,0.261874559548978,0.205214940098661,-0.0513037350246653
"NFE2L2",-0.529950669485553,-0.28738548273432,-0.394362226920366,-0.713037350246652,-0.0875264270613108,0.0159267089499648,0.45708245243129,0.371811134601832,-0.0263565891472868
"STAT3",-0.441155743481325,-0.499647639182523,-0.228752642706131,-0.61014799154334,-0.173502466525722,-0.199436222692037,0.521494009866103,0.352783650458069,-0.164200140944327
"JAK2",0.239182522903453,-0.004369274136716,0.340662438336857,0.250880902043693,0.363354474982382,0.182522903453136,-0.140239605355884,-0.0800563777307963,0.286257928118393
"IL1B",-0.595912614517266,-0.56138125440451,-0.458632840028189,-0.627484143763214,-0.128964059196617,0.0208597603946441,0.606483439041579,0.444397463002114,-0.0201550387596899
"TNF",-0.524453840732911,-0.429316420014094,-0.470894996476392,-0.558562367864693,-0.0893587033121917,-0.00887949260042283,0.382804792107118,0.482029598308668,0.0484848484848485
"IL6",-0.360253699788584,-0.447216349541931,-0.288372093023256,-0.378576462297393,-0.340098661028894,-0.251585623678647,0.52431289640592,0.419027484143763,-0.224242424242424
"CXCL8",-0.475828047921071,-0.428047921071177,-0.345454545454545,-0.652431289640592,-0.286680761099366,-0.197885835095137,0.796194503171247,0.406342494714588,0.00704721634954193
"IFNG",0.0780831571529246,-0.252854122621564,0.136715997181113,0.0472163495419309,-0.469626497533474,-0.372515856236786,-0.0132487667371388,0.0734319943622269,-0.394785059901339
