"Gene","Category","FHL_logFC_panel","FHL_FDR_panel","logFC_reanalysis","FDR_reanalysis","Delta_logFC","Abs_Delta_logFC","Close_Agreement_abs_delta_lt_0.5"
"CD79A","B Cell",-1.01959858512121,6.18365175308661e-06,-1.36068035851515,2.00130739508615e-07,-0.34108177339394,0.34108177339394,TRUE
"CD79B","B Cell",0.19009108830303,0.0044012351489432,-1.53857889366667,9.75876823905986e-12,-1.7286699819697,1.7286699819697,FALSE
"IGKC","B Cell",0.127191659030303,0.037318107450703,-1.82867601806061,1.12936752183269e-08,-1.95586767709091,1.95586767709091,FALSE
"MS4A1","B Cell",-2.56736076360606,4.66437560060269e-11,-2.56736076360606,8.52988078080948e-11,0,0,TRUE
"MZB1","B Cell",-0.649063370969696,4.53249247982561e-05,-0.779010689272727,4.56986698154907e-05,-0.129947318303031,0.129947318303031,TRUE
"CXCL13","Cytokines",0.736923877321211,0.0006900228807881,0.736923877321212,0.000563514268227407,9.99200722162641e-16,9.99200722162641e-16,TRUE
"CXCL8","Cytokines",4.86431875387878,3.61158944644242e-17,4.1228516549394,2.31883511080482e-10,-0.74146709893938,0.74146709893938,FALSE
"IL10","Cytokines",1.62739090987879,2.38648131203073e-07,1.62739090987879,1.75882501477426e-07,0,0,TRUE
"IL1B","Cytokines",3.92305948124242,1.57139661348138e-13,3.92305948124242,4.57729312930976e-13,0,0,TRUE
"IL33","Cytokines",-0.0750111993939393,0.239491252881074,-0.0750111993939394,0.240964118408232,-9.71445146547012e-17,9.71445146547012e-17,TRUE
"IL6","Cytokines",3.54199058957575,8.35153693799471e-08,3.54199058957576,6.95255870932161e-08,9.76996261670138e-15,9.76996261670138e-15,TRUE
"TNF","Cytokines",2.61610960542424,3.63780882705554e-11,2.61610960542424,3.55988364608164e-11,0,0,TRUE
"VEGFA","Cytokines",2.13935462742424,3.5903852452056e-12,1.90969043348485,1.08220400173984e-11,-0.22966419393939,0.22966419393939,TRUE
"HDAC1","HDAC / Sirtuin",-0.53703956660606,8.30306333394966e-09,-0.537039566606061,8.62767864889813e-09,-9.99200722162641e-16,9.99200722162641e-16,TRUE
"HDAC2","HDAC / Sirtuin",-0.023956388030303,0.802368179478314,0.0282787220909091,0.850778517845097,0.0522351101212121,0.0522351101212121,TRUE
"HDAC3","HDAC / Sirtuin",-0.0779603842848484,0.36805377754167,-0.0779603842848484,0.367141826262534,0,0,TRUE
"HDAC4","HDAC / Sirtuin",0.269314102090909,0.0086949008041465,-0.290941591090909,0.0645787488527011,-0.560255693181818,0.560255693181818,FALSE
"HDAC5","HDAC / Sirtuin",0.0933007166060605,0.162959978863476,0.0993689230909091,0.293586387326985,0.0060682064848486,0.0060682064848486,TRUE
"HDAC6","HDAC / Sirtuin",0.0908383857878787,0.169515163849998,-0.519760493436364,3.25897302383438e-05,-0.610598879224243,0.610598879224243,FALSE
"HDAC7","HDAC / Sirtuin",0.0278122585939394,0.708191214711781,-0.0490726563636363,0.588630577332444,-0.0768849149575757,0.0768849149575757,TRUE
"HDAC8","HDAC / Sirtuin",0.338190924666666,0.0048277414706831,-0.771656438618182,3.20750285589522e-08,-1.10984736328485,1.10984736328485,FALSE
"HDAC9","HDAC / Sirtuin",0.106628064454545,0.0658183480140971,-1.43107031221212,1.92360011190324e-08,-1.53769837666666,1.53769837666666,FALSE
"SIRT1","HDAC / Sirtuin",0.0931147958181817,0.393865464314416,0.0931147958181818,0.39176193993482,9.71445146547012e-17,9.71445146547012e-17,TRUE
"SIRT2","HDAC / Sirtuin",0.0755267459090908,0.547358354072108,0.0755267459090909,0.545832803670302,1.11022302462516e-16,1.11022302462516e-16,TRUE
