"Gene","Module"
"RPS4Y1",0
"DDX3Y",0
"CXCL3",3
"KDM5D",0
"XIST",0
"EIF1AY",0
"USP9Y",0
"TSIX",0
"HLA-DRB4",2
"CXCL2",1
"TXLNGY",0
"CXCL8",1
"INHBA",1
"CCL20",3
"HLA-DQA1",0
"IL6",3
"F3",3
"COXFA4L3",3
"CXCL1",3
"OLR1",3
"ACOD1",3
"IL1B",3
"OLFM4",7
"THBS1",1
"SERPINB2",3
"HBG2",1
"HLA-DQB1",0
"CHI3L1",7
"TNFAIP6",3
"ARG1",7
"PHLDA1",3
"SLC7A11",3
"CCL2",3
"LTF",7
"CCL7",3
"DEFA4",7
"EREG",1
"NRIP3",3
"IL1R1",3
"ANXA3",7
"ZFY",0
"IL1R2",1
"EGR3",4
"UTY",0
"CA1",5
"PTGES",1
"CEACAM8",7
"EDN1",3
"GPR84",3
"BPI",7
"CRISP3",7
"LOC105374947",3
"GEM",4
"TNFRSF17",1
"FCER1A",1
"MMP1",3
"HBD",1
"MET",3
"G0S2",1
"MMP19",3
"HCAR3",1
"GYPA",5
"AREG",1
"C11orf96",3
"HMGN2P46",3
"CD1D",3
"TMEM52B",7
"MMP8",7
"MIR3945HG",3
"FERMT2",3
"HEY1",3
"CXCL10",13
"GJB2",3
"DUSP4",1
"NR4A2",1
"FCRL2",1
"FLT1",3
"LCN2",7
"TNFSF15",3
"GYPB",5
"CD177",7
"PTGS2",1
"ALAS2",5
"SLPI",7
"PLAU",3
"MMP9",7
"NUMA1",4
"DOCK4",1
"MS4A6A",4
"AHSP",5
"S100P",7
"CEACAM6",7
"CREM",3
"CCRL2",3
"MAFF",1
"SLC25A37",1
"ZNF595",1
"CNTNAP2",1
"TMEM176B",2
"FNDC3B",1
"TNF",3
"BANK1",1
"TTTY14",0
"LGALS2",4
"MS4A1",1
"ARPIN",4
"SCN3A",1
"RGS1",1
"FCRL5",1
"PTX3",3
"TCL1A",1
"PLAUR",1
"MPO",7
"SLC4A1",5
"SLC6A6",1
"MYL4",5
"IGHM",1
"AQP9",1
"CACNA2D3",4
"FOLR3",10
"IGLC1",1
"SPP1",3
"NEBL",0
"EPB42",5
"ORM1",7
"ELANE",7
"FAM118A",0
"CTSL",3
"IL1RN",3
"CD160",1
"PI3",3
"BLNK",1
"CCL8",13
"LOC105377782",0
"HBM",5
"TNIP3",3
"FCRL3",1
"NR4A3",1
"NRG1",4
"KLHL14",1
"LINC02724",4
"MIR155HG",3
"GK",3
"KRT1",5
"PRSS23",1
"LINC01410",4
"JCHAIN",1
"OSBPL10",1
"HBEGF",1
"TMEM176A",2
"SNCA",5
"TREML4",1
"MARCHF1",3
"CLEC5A",1
"IFI27",1
"TRIM10",5
"EMP1",1
"MYO10",1
"TLR7",1
"AFF3",1
"RTN1",4
"CD44",3
"NAMPT",1
"SELENBP1",5
"RASGEF1B",1
"PPIF",3
"MELTF",3
"ARL5B",3
"CXCL5",3
"BTBD19",3
"CD24",7
"PAX5",1
"IGLV2-14",1
"CD1C",1
"PLPP3",3
"KLRF1",1
"PTGDR",1
"CCL4",3
"FCRL1",1
"KCNJ15",1
"GSDME",3
"TGFBI",4
"POU2AF1",1
"RASSF4",4
"SPRY2",1
"LYZ",4
"RNASE3",7
"SDC2",1
"MACROD2",1
"EGR2",1
