"Module","Gene","kME","Rank"
"2","SLC38A10",0.930332475745017,1
"2","P4HTM",0.929449683162578,2
"2","TBCB",0.928217435897629,3
"2","PYCARD",0.919632086376907,4
"2","PRKCSH",0.915713542060613,5
"2","PDLIM2",0.915637960875133,6
"2","OXLD1",0.915618176162851,7
"2","CORO1B",0.914144765804902,8
"2","YIF1B",0.913195267189695,9
"2","NAA38",0.911980591892557,10
"2","WAS",0.911627648189335,11
"2","NDUFA7",0.91064706620125,12
"2","SH2D3C",0.908577884724656,13
"2","CENPX",0.907583765813546,14
"2","GALK1",0.904859018097947,15
"2","STK11IP",0.902563138784351,16
"2","GSTK1",0.902192023748606,17
"2","TBC1D9B",0.900275910571993,18
"2","NICOL1",0.897018918705234,19
"2","PGLS",0.89631584691984,20
"2","CUEDC2",0.894230711367048,21
"2","C8orf82",0.892000538888916,22
"2","TRADD",0.891838169405288,23
"2","ISYNA1",0.891216378448064,24
"2","RAB40C",0.890243351815485,25
"2","SPHK2",0.890130524956157,26
"2","NDUFS8",0.888343408406433,27
"2","PHKG2",0.887098104681007,28
"2","DNAJC4",0.886623443066619,29
"2","GLI4",0.885320461439852,30
"2","MZF1",0.88438630283102,31
"2","PGP",0.882963117747297,32
"2","SLC67A1",0.882813382684294,33
"2","DENND1C",0.882725925644584,34
"2","TFEB",0.88220980667404,35
"2","SURF1",0.880348122355025,36
"2","COG4",0.878915092022309,37
"2","ARHGAP27",0.876752741742029,38
"2","CPSF1",0.875408356332615,39
"2","PIDD1",0.874929560678223,40
"2","RBCK1",0.874840340588723,41
"2","ATP5MF",0.871688230878179,42
"2","MAN2B1",0.87097660528061,43
"2","PARP10",0.870422205753347,44
"2","RIPK3",0.86996587967199,45
"2","SCRN2",0.869960298089041,46
"2","TSPAN32",0.869134735806015,47
"2","UBA7",0.868919042713762,48
"2","CIDEB",0.86866723448493,49
"2","CEP250",0.868292400288857,50
"4","CD33",0.97919766301247,1
"4","TNFSF13",0.971064502462706,2
"4","LILRA1",0.970535141942362,3
"4","FGL2",0.962222866144328,4
"4","NACC2",0.961450937580254,5
"4","MS4A6A",0.95692814695899,6
"4","SLC24A4",0.953898701970119,7
"4","CLEC4A",0.947963025354472,8
"4","FUCA2",0.939456569562541,9
"4","CD300LF",0.938434972182364,10
"4","RASGRP4",0.931683403418267,11
"4","SIRPB1",0.929231847917148,12
"4","TBXAS1",0.92805909030901,13
"4","SLC39A11",0.925972837929354,14
"4","LILRB1",0.925958316386188,15
"4","RBP7",0.924505111752417,16
"4","MBOAT1",0.921807275495535,17
"4","TLR8",0.921478000314348,18
"4","MGST2",0.920879587487811,19
"4","LRRK2",0.920414328734146,20
"4","TK2",0.919627215141849,21
"4","ARPIN",0.914600855391083,22
"4","IMPA2",0.914130190653682,23
"4","TGFBI",0.913702940767888,24
"4","NFAM1",0.912636662690913,25
"4","CD14",0.910801359048793,26
"4","TMEM170B",0.909156518597952,27
"4","RNASE6",0.907975916880091,28
"4","MARVELD1",0.905760016022989,29
"4","RCBTB2",0.901628226074829,30
"4","LY86",0.901202596795812,31
"4","MPEG1",0.900909571267052,32
"4","NME8",0.900145558813915,33
"4","AIF1",0.899815728668698,34
"4","RNF135",0.898458419742836,35
"4","NRG1",0.898071987629535,36
"4","PTPN18",0.897793121531195,37
"4","PAQR7",0.897371753220852,38
"4","TMTC2",0.896269177513517,39
"4","RASSF4",0.894901921414415,40
