"gene","delta_moderate","delta_extreme","sd_moderate","sd_extreme"
"IL1B",-0.4099,-0.481,0.0472,0.0528
"CXCL8",-0.3605,-0.4379,0.0491,0.0489
"IL6",-0.3364,-0.4233,0.0407,0.0476
"TNF",-0.295,-0.376,0.0373,0.0418
"PTGS2",-0.2853,-0.3529,0.03,0.0436
"CCL2",-0.2627,-0.3267,0.0274,0.0381
"TOP2A",-0.2052,-0.2777,0.0228,0.0298
"CXCL10",-0.2195,-0.2735,0.0267,0.0338
"MMP9",-0.2216,-0.2735,0.0243,0.0303
"IL1A",-0.2216,-0.2733,0.025,0.0292
"ICAM1",-0.1926,-0.251,0.0247,0.0283
"CCL5",-0.1923,-0.2438,0.0234,0.0263
"SELE",-0.1914,-0.2412,0.0219,0.0266
"CCNB1",-0.1656,-0.2183,0.019,0.0244
"MYC",-0.1634,-0.2181,0.0192,0.0267
"CXCL9",-0.1617,-0.2177,0.0211,0.0262
"VCAM1",-0.1617,-0.2154,0.0182,0.0233
"CCND1",-0.1352,-0.1917,0.016,0.0204
"IL18",-0.1224,-0.1659,0.0146,0.0183
"NFKB1",-0.1211,-0.1658,0.015,0.0185
"BCL2",-0.1231,-0.1635,0.0138,0.0196
"NLRP3",-0.122,-0.1613,0.0142,0.0192
"RELA",-0.0977,-0.1374,0.0118,0.0165
"CASP1",-0.0827,-0.1091,0.0094,0.0133
"TP53",0.0959,0.1367,0.0107,0.0141
"FAS",0.0945,0.1374,0.0096,0.015
"TNFRSF10B",0.136,0.1877,0.015,0.0196
"BAX",0.1374,0.1887,0.0163,0.0216
"GADD45A",0.1347,0.1893,0.0161,0.0223
"PMAIP1",0.1499,0.222,0.0191,0.023
"BBC3",0.1777,0.2422,0.0222,0.0274
"CDKN1A",0.2345,0.33,0.0241,0.0386
