Gene,Category,FHL_logFC,FHL_FDR,CAEBV_BM_lfc,CAEBV_BM_FDR,CAEBV_PB_lfc,CAEBV_PB_FDR,MAS_lfc,MAS_FDR,iMCD_lfc,iMCD_FDR,FHL_Sig
SLC25A37,Iron Metabolism,2.60260783566666,2.71207451854988e-10,2.1642244,2.9269134719926463e-45,2.136035,1.0328255798311436e-98,5.407575,0.0,0.114376813083887,1.2722422439981663e-14,***
TFRC,Iron Metabolism,0.858876295090908,1.82552536660961e-06,4.7397833,1.2166830127327073e-178,-0.183833,8.916414615120666e-10,1.1192497,2.528232520529909e-30,0.0848024731526772,3.471549660519646e-11,***
FTL,Iron Metabolism,0.173851677878788,0.0732736977210179,0.23209183,0.0461170517992912,0.8160474,0.0,13.53643,2.6569073350415536e-46,0.4879809987346331,1.3361284231442585e-33,ns
FTH1,Iron Metabolism,1.13098907409091,2.89611388609865e-07,1.9074503,1.6028771526132892e-161,1.0104505,0.0,11.415822,7.688525072419591e-148,0.4347600744167965,1.1425574887565122e-33,***
NCOA4,Iron Metabolism,-0.0031198382121212,0.975642301666931,0.72784215,1.8938569403875553e-36,0.17834061,0.0266525222863574,1.5432643,4.05733833324924e-235,-0.3136284180035193,4.238395197819268e-32,ns
SLC40A1,Iron Metabolism,0.466038067878787,0.0540713208088695,2.4007957,5.996514456876373e-184,0.45117915,0.0991893305431139,0.54066575,3.289662016011205e-06,-0.0772820915679137,1.0849788987443827e-10,ns
GPX4,Iron Metabolism,0.351956053969696,0.0240826277687047,0.554667,0.0648122273456656,-1.2196301,0.0,0.013240064,1.3160000025001233e-43,-0.081317810639739,0.0004594858587116,*
SLC7A11,Iron Metabolism,3.28154465387878,1.97558276660813e-10,1.3236928,1.0,1.5971916,1.0,0.66166043,1.0,0.0088605254590511,0.0042924179854314,***
GCLM,Iron Metabolism,1.11430992860606,2.21997211276519e-08,2.1726315,5.420359449582642e-70,-0.1686129,4.0245195345259005e-11,0.3358097,1.0,-0.0404991916120052,0.0003653411987171,***
HMOX1,Iron Metabolism,0.277501924848484,0.220401643143922,-0.49461508,0.0039240344840176,-0.43067825,1.2673757602472313e-08,1.2477298,3.5752839771039823e-14,0.0590552305281162,1.8406835755839213e-07,ns
FXN,Iron Metabolism,-0.179244311878788,0.032502402237,,,-26.693127,3.183187147469569e-58,-0.052946363,0.0034099448013792,-0.0642781813244025,4.0047323606842055e-10,*
ISCA1,Iron Metabolism,0.864727853727272,0.0003328012461199,0.40790376,0.0465365391737586,-0.43163678,5.281287294670284e-38,2.2318833,2.3764351493984493e-199,0.0715589709430933,2.0479919260160397e-06,***
ISCU,Iron Metabolism,0.0750880535454545,0.585624504318876,-0.36717474,6.039698714482914e-31,-0.39483443,1.4009600380673495e-94,0.62200135,8.351973358423525e-07,-0.0071792354087034,0.766363210369957,ns
HDAC1,HDAC / Sirtuin,-0.53703956660606,8.303063333949662e-09,0.14479803,1.0,6.82,1.199709629135125e-76,0.5531617,0.0005581251026317,-0.0110310638944308,0.5772357859592845,***
HDAC2,HDAC / Sirtuin,-0.023956388030303,0.802368179478314,1.4733412,1.2053476326268037e-52,-7.767,6.291205833575449e-44,0.4894988,0.0067009658012371,-0.0043129366934299,0.8021548782715011,ns
HDAC3,HDAC / Sirtuin,-0.0779603842848484,0.36805377754167,0.36232802,0.1328142670515323,-1.164,1.750752971992604e-13,-0.04174172,0.0009611337148272,-0.0343344819645086,0.0059687039004442,ns
HDAC4,HDAC / Sirtuin,0.269314102090909,0.0086949008041465,0.45600116,1.2388755023029066e-06,-0.637,0.3628822753239374,0.43537465,0.0055905674000059,0.0744921036163965,0.0033265909740713,**
HDAC5,HDAC / Sirtuin,0.0933007166060605,0.162959978863476,-0.5648233,0.0007309701103554,6.978,5.129944240434197e-11,-0.36996073,6.024697330534736e-07,0.026065841342012,0.0535436416638196,ns
HDAC6,HDAC / Sirtuin,0.0908383857878787,0.169515163849998,0.48594898,0.0636511934663686,0.49,0.0008049724497641,0.11986888,1.0,0.0039254346936941,0.7033988449768912,ns
HDAC7,HDAC / Sirtuin,0.0278122585939394,0.708191214711781,0.19392575,0.5055605930223379,0.039,0.996,-0.07733862,2.63777942858911e-10,0.0030452552388111,0.8699796214104384,ns
HDAC8,HDAC / Sirtuin,0.338190924666666,0.0048277414706831,-1.0031519,1.0,-0.106,0.996,0.33229452,0.0511243244846242,-0.0649990152716636,0.0009067662143359,**
HDAC9,HDAC / Sirtuin,0.106628064454545,0.0658183480140971,-0.154735,1.0,-3.654,0.996,-0.42880148,6.01270902126134e-07,0.164060584227244,6.179804825257228e-11,ns
