"Gene","logFC.unadj","AveExpr","P.Value.unadj","adj.P.Val.unadj","logFC.adj","P.Value.adj","adj.P.Val.adj","CCI"
"A1BG",-0.128894272345454,0.00186455953181819,0.183420996384433,0.261583770387977,0.149902881498898,0.484331648770634,0.789994017335169,1
"A1BG-AS1",-0.0433053791212121,0.00543002306818182,0.571540816401095,0.653057967167736,-0.00100275545392378,0.995629866516838,0.999277845140266,NA
"A1CF",0.048513807090909,0.0237519301363636,0.32061103862614,0.412423873854661,0.0281044711445725,0.806348961990866,0.940190121939117,NA
"A2M",-0.303572250727272,-0.0471116117727272,0.00643664732901195,0.0159868113178704,-0.479260850212331,0.045010171400602,0.261691317794679,0.578737348569109
"A2M-AS1",-1.67634652969697,-0.372946857272727,7.41610675131228e-11,3.11753857626523e-09,-2.19710108111136,1.17176131686757e-05,0.00221182051842427,0.310648509833182
"A2ML1",0.189345336896969,0.0431073785090909,0.000418201656512657,0.0016126130704438,0.127961341840641,0.260655333408108,0.615292495561179,0.324190688095637
"A4GALT",0.462961350272727,0.12226643475,2.04677824754166e-07,2.31631952709338e-06,0.296892429374344,0.0809861027396262,0.350911265209796,0.358710118675248
"A4GNT",0.0769979226969696,0.0184145137954545,0.0796401256239451,0.130492970359806,0.102221591934164,0.309789408137584,0.662118369922618,NA
"AA06",0.0943647711818181,0.0326989257045455,0.0490357934554033,0.0867643855530813,-0.000319674820996536,0.997694554972341,0.999277845140266,NA
"AAAS",-0.334888097424242,-0.105870794022727,0.000726216641823779,0.00257272003751606,-0.231883484144393,0.290958443391338,0.644321518778604,0.307579200551164
"AACS",-0.096116372090909,-0.0317852535681818,0.19504948233799,0.275008695056635,-0.169671970803378,0.319632829241144,0.670458742228539,NA
"AACSP1",0.160827098757576,0.0401257914772727,0.00031773000533949,0.00127420173972297,0.272649125099239,0.0074113106642752,0.0958622284891563,0.69529343752087
"AADAC",0.000241815454545458,0.0152420729545455,0.996120630635768,0.997381661066524,-0.0130615870480662,0.910761300187946,0.975615431892583,NA
"AADACL2",0.128254477939394,0.0306153228181818,0.0112239552527279,0.0254310413179846,0.305797937745474,0.00761961269154336,0.0971443755390498,1
"AADACP1",-0.0200948453939394,0.0233167690454545,0.738852569739394,0.798653402854058,-0.131257302814503,0.362089139751076,0.707642864407818,NA
"AADAT",0.140991167151515,0.0426448529090909,0.00147165058887904,0.00465517676277765,0.0561608780276107,0.56088151197454,0.833748064055151,0.60167094746256
"AAGAB",-0.186195385757576,-0.0814010770454545,0.0159861554936602,0.0341213743695267,-0.153520566784515,0.380988964870443,0.721332007789246,0.17548672777317
"AAK1",0.163095462018182,0.157934711668182,0.338629800647763,0.43095586369684,0.0215363954603536,0.952918327931652,0.985831182513462,0.867952209130425
"AAMDC",-0.485086884575757,-0.117201270295455,3.87376479979355e-06,2.89853704623655e-05,-0.447645269857913,0.0317638151032034,0.219377836846348,0.0771853783484367
"AAMP",-0.210390313272727,-0.0680931277727273,0.0123167089756518,0.0274268321350412,0.0933520885614309,0.616297662814241,0.861003146514268,1
"AANAT",0.153046840121212,0.036360626,0.00861715919945014,0.0203673973109306,0.0748955075267059,0.568464994277294,0.837962998052848,0.510636694835455
"AAR2",-0.0813440866666665,-0.0401956684545454,0.395718415792399,0.487317154099918,-0.077967127667171,0.721040828199551,0.905708883018462,NA
"AARS1",-0.078347094921212,0.0281115790090909,0.583273573221391,0.663428088505257,-0.298443792485206,0.367464870358256,0.711825293492188,NA
