gene,logFC_unadj,logFC_adj,se_unadj,se_adj,p_unadj,p_adj,CCI,CCI_signed,FDR_unadj,FDR_adj
7SK,-0.9048917542946301,-0.425098060243948,0.2807819539331115,0.3528854935268181,0.0037679362046907374,0.2431359281968354,0.5302221970457504,0.5302221970457504,0.15176956473032266,0.4819818694235261
A1BG,-0.5809960108600826,-0.14489328822510691,0.15841237558043975,0.1509318784010421,0.0012792037496001671,0.3491179069055038,0.7506122494531196,0.7506122494531196,0.11702668880252913,0.5854260602465682
A1BG-AS1,-0.13615885011714138,0.13668761196772136,0.12377124400513348,0.12385973799883708,0.2826764263327762,0.28356211371625606,1.0,2.003883418889959,0.6424275011256156,0.5226721155383874
A2M,-0.12641903217205042,0.07658106470261646,0.36418690246183555,0.3727895733923307,0.731652268554249,0.839423406835168,1.0,1.6057716420292887,0.9100132490632481,0.9197483273191868
A2M-AS1,-0.6898806234802412,-0.7965279098231541,0.32953132891767484,0.37634163231194734,0.04752437075291981,0.04772632821848711,0.15458802974478303,-0.15458802974478303,0.337679920836287,0.21642177319428185
AAAS,0.09451463638776249,0.15038851049540614,0.0874502392310167,0.09240101403745862,0.29099697662531043,0.12008727174616828,,,0.6481117007352941,0.3348302524850021
AACS,0.02326193366388015,0.1251540872005741,0.10597239407821533,0.10669487187330842,0.8281897288819264,0.25528868016431705,,,0.9460953622487354,0.4947323751673224
AAED1,-0.007015612396013772,-0.12177431404627924,0.11924467589240674,0.11605577337678454,0.9535927131457159,0.30721620038713937,,,0.9871129549567211,0.5450299614962595
AAGAB,0.21313948248072775,0.2554276332092152,0.08465953774545004,0.10755427856285005,0.019231497099861446,0.028240610780913222,0.19840599327865574,0.19840599327865574,0.24504186824058974,0.17469530330067892
AAK1,-0.45873211357561194,-0.18666374809518899,0.17487004362626155,0.1450044376302523,0.015195804584700412,0.2134521509348768,0.5930876810864004,0.5930876810864004,0.22932340838673962,0.4498175455346662
AAMDC,-0.02519938334324972,0.05324929495962117,0.07839892959897678,0.07682848854686541,0.7507910455087012,0.4966368110476018,,,0.9168925070561522,0.7054657034064897
AAMP,-0.03146273659253571,-0.063600146524486,0.07665195275574785,0.06357337151429111,0.6852655215617065,0.329678270401215,,,0.8876571719474413,0.5654743426753093
AAR2,0.1139377860788845,0.183835906850889,0.09418354654573444,0.09421778375599006,0.23866565975302734,0.06593873720226331,0.6134762064238349,0.6134762064238349,0.5992895182549575,0.2517018543246691
AARS,0.16820822832559412,0.18317453610595172,0.10835942304521767,0.14457663247517633,0.13423906893055101,0.22047606561659291,0.08897488505370793,0.08897488505370793,0.48062174185563883,0.458496738258205
AARS2,-0.12624614611913307,-0.052907214647816066,0.07996960136704977,0.0960636452365731,0.1280661348815329,0.5882219144025689,0.5809201605418529,0.5809201605418529,0.471871328339179,0.7701371578507737
AARSD1,-0.09834271762827075,0.047782106313252866,0.13377580837051734,0.14803172876754564,0.4696900266035966,0.75038481029186,,,0.7810063129258609,0.8727820208291783
AASDH,0.024454587473352603,0.23979530678792893,0.10140488438366752,0.10621910451504692,0.8115696436535015,0.03593687482949767,,,0.9409628742698557,0.1915748846763502
AASDHPPT,0.13372312566470113,0.28381841032257327,0.09805757048882517,0.1207701517339129,0.18585482675177475,0.029727325052274243,1.0,1.1224332658378233,0.5478945273945007,0.17716940113199695
AATF,0.02682988058440854,0.07875443495110973,0.08594011182085379,0.07792061262054892,0.7577067813366579,0.32485850266575755,,,0.9205256254704478,0.5610480549078833
AATK,0.21889257042848706,0.23246697777263725,0.2543964299240378,0.21561433953891856,0.3984280280246404,0.2944603530092287,0.062014015905510124,0.062014015905510124,0.7359944390646287,0.5333018781595756
