"Gene","logFC.unadj","AveExpr","t","P.Value.unadj","adj.P.Val.unadj","logFC.adj","t.adj","P.Value.adj","adj.P.Val.adj","Delta_logFC","EffectChange_Direction","CCI_legacy","SE_unadj","SE_adj","CCI_floor","CCI_denominator","CCI_stabilized_raw","CCI_stabilized","BaselineReliability","CCI","CCI_SE_approx","CCI_lower_approx","CCI_upper_approx","CCI_interval_method","CompositionTransform","CompositionCovariates","logFC_adj_median","logFC_adj_lower","logFC_adj_upper","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_Rank_Tier"
"SLC7A11",3.28154465387878,0.859453632954545,9.4964438935404,2.54801645085684e-12,2.17651565232192e-10,3.04592226031941,6.83638936830149,2.76054773238265e-08,1.4701121402751e-06,-0.235622393559374,"attenuation",0.0718022816727081,0.345555103643684,0.445545462118137,0.345555103643684,3.28154465387878,0.0718022816727081,0.0718022816727081,"stable_baseline",0.0718022816727081,0.167295411546693,0,0.399701288304227,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",3.21442945573567,2.86102782897565,3.63478934736424,0.0386546657084146,0.00185211790257693,0.130607570383221,3,1,9,0.995,0,0.835,200,"Lowest"
"NFKB1",1.42658611866666,0.367495368272727,10.2328130951243,2.50502555808837e-13,3.17547436703458e-11,1.3127126867332,7.22961891325247,7.683232540871e-09,5.85983681822501e-07,-0.113873431933464,"attenuation",0.0798223328009763,0.139412897060184,0.181574257576273,0.139412897060184,1.42658611866666,0.0798223328009763,0.0798223328009763,"stable_baseline",0.0798223328009763,0.155840536505861,0,0.385269784352465,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",1.36889423052967,1.21390731604598,1.55961063925739,0.0479603886095202,0.00367564965800284,0.150976556059433,4,1,10,0.985,0,0.72,200,"Lowest"
"NFE2L2",-0.23248306960606,-0.0821240856136363,-1.6858479929573,0.0987452832986744,0.156223553477789,-0.212667773985511,-1.24407245657163,0.220515372025792,0.344737953419474,0.0198152956205488,"attenuation",0.0852332845317535,0.137902747209278,0.170944845585259,0.137902747209278,0.23248306960606,0.0852332845317535,0.0852332845317535,"stable_baseline",0.0852332845317535,0.913836750856937,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",-0.213801585480635,-0.446008861737197,-0.0712784080337565,0.301450825202919,0.00595496239853729,0.966184247218782,15,1.975,19.0125,0.33,0.24,0.135,200,"Lowest"
"TNF",2.61610960542424,0.634862818659091,10.1917378920617,2.84599972765472e-13,3.57507789318038e-11,2.33629528350058,7.46536527773825,3.58643419497759e-09,3.19117925973943e-07,-0.279814321923662,"attenuation",0.106958179941504,0.256689254877907,0.312951235014235,0.256689254877907,2.61610960542424,0.106958179941504,0.106958179941504,"stable_baseline",0.106958179941504,0.148283656125154,0,0.397594145946805,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",2.53585143525711,2.13225482442274,2.78407575439753,0.038848140657045,0.00228245527139154,0.184952029532047,3,1,12,0.975,0,0.74,200,"Lowest"
"FTL",0.291573353848484,0.0394243106136363,2.88537370765523,0.00598167490615693,0.0150440074927548,0.259782965507698,2.29306755042451,0.0270271762221981,0.0719455215325955,-0.0317903883407864,"attenuation",0.109030499259223,0.101052197528142,0.11329058555628,0.101052197528142,0.291573353848484,0.109030499259223,0.109030499259223,"stable_baseline",0.109030499259223,0.496307005735746,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.212296279499795,0.0668773777622069,0.331295720825576,0.271894099039948,0.0239961352120602,0.770632752000516,13,2,19,0.33,0.165,0.1,200,"Lowest"
"IL1B",3.92305948124242,1.01685091634091,12.0333857973303,1.15273114784109e-15,4.71982904242538e-13,3.4803460728192,8.73335728299685,6.49207288510613e-11,1.61207228443537e-08,-0.442713408423223,"attenuation",0.112849017594558,0.326014601984488,0.398511816251369,0.326014601984488,3.92305948124242,0.112849017594558,0.112849017594558,"stable_baseline",0.112849017594558,0.125515456247757,0,0.358859311840162,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",3.71117396662953,3.25510659051385,4.078512365735,0.0546224692562492,0.00169144780746815,0.170263258541528,5,1,9,0.995,0,0.695,200,"Lowest"
"TFRC",0.831383091727272,0.20958255675,4.75894245428208,2.0419760619606e-05,0.00012039314964983,0.72430138845612,3.18262375416332,0.00277810898033105,0.0124114052876505,-0.107081703271152,"attenuation",0.128799472032419,0.174699126899338,0.227579960561984,0.174699126899338,0.831383091727272,0.128799472032419,0.128799472032419,"stable_baseline",0.128799472032419,0.329309688253485,0,0.774246461009249,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.625740465170037,0.424354337733574,0.800161784937685,0.247350022635165,0.0376366019756404,0.489580264554165,13,4.975,17,0.33,0.02,0.04,200,"Lowest"
"HMOX1",0.277501924848484,0.140850804545455,1.48148801532412,0.145442806578974,0.215405446597822,0.317724353214548,1.42876956260569,0.160620300173294,0.271880668215021,0.0402224283660631,"amplification",0.144944682412652,0.18731297315812,0.222376205043943,0.18731297315812,0.277501924848484,0.144944682412652,0.144944682412652,"stable_baseline",0.144944682412652,1.11329907068222,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.298235213280405,0.110809735548569,0.563844120587385,0.287799113184045,0.0189850677982244,1,14,1,20,0.415,0.265,0.135,200,"Lowest"
"GCLM",1.11430992860606,0.286462425363636,7.83822489775825,5.9186640428718e-10,1.70570945527027e-08,0.941799273687891,5.21305224272255,5.5924439400823e-06,8.82028362928047e-05,-0.172510654918168,"attenuation",0.154813890184008,0.142163556563011,0.180661775450773,0.142163556563011,1.11430992860606,0.154813890184008,0.154813890184008,"stable_baseline",0.154813890184008,0.194712103130652,0,0.536449612320086,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.969492166762316,0.716941831295247,1.07945708510185,0.129961833890237,0.0445135534520929,0.356604645718178,8,3.975,15.025,0.835,0.005,0.15,200,"Lowest"
"SLC25A37",2.60260783566666,0.892542441431818,9.28033019239903,5.09647892663232e-12,3.65219152611521e-10,2.16037301388857,7.49744521253604,3.23428852837775e-09,2.99424741446471e-07,-0.442234821778095,"attenuation",0.1699198840938,0.28044345208733,0.288147889400557,0.28044345208733,2.60260783566666,0.1699198840938,0.1699198840938,"stable_baseline",0.1699198840938,0.142331486445331,0,0.44888959752665,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",1.97805660484284,1.68977746471668,2.29454668522071,0.239971317332117,0.118366334806272,0.350736810379332,12,8,17,0.215,0.005,0.005,200,"Lowest"
