"Gene","logFC_adj_median","logFC_adj_lower","logFC_adj_upper","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_variant","CompositionTransform"
"SLC7A11",3.21442945573567,2.86102782897565,3.63478934736424,0.0386546657084146,0.00185211790257693,0.130607570383221,3,1,9,0.995,0,0.835,200,"stabilized","ilr"
"SLC25A37",1.97805660484284,1.68977746471668,2.29454668522071,0.239971317332117,0.118366334806272,0.350736810379332,12,8,17,0.215,0.005,0.005,200,"stabilized","ilr"
"FTH1",1.03139482063905,0.817074179669415,1.33611737001047,0.111632568532307,0.00535138300406051,0.282761076652919,7.5,1,13,0.85,0,0.305,200,"stabilized","ilr"
"FTL",0.212296279499795,0.0668773777622069,0.331295720825576,0.271894099039948,0.0239961352120602,0.770632752000516,13,2,19,0.33,0.165,0.1,200,"stabilized","ilr"
"GPX4",0.440585837417059,0.307302390200436,0.64512471275491,0.255173203903933,0.0141479962695616,0.832969501386827,14,1.975,20,0.385,0.24,0.135,200,"stabilized","ilr"
"GCLM",0.969492166762316,0.716941831295247,1.07945708510185,0.129961833890237,0.0445135534520929,0.356604645718178,8,3.975,15.025,0.835,0.005,0.15,200,"stabilized","ilr"
"TFRC",0.625740465170037,0.424354337733574,0.800161784937685,0.247350022635165,0.0376366019756404,0.489580264554165,13,4.975,17,0.33,0.02,0.04,200,"stabilized","ilr"
"HMOX1",0.298235213280405,0.110809735548569,0.563844120587385,0.287799113184045,0.0189850677982244,1,14,1,20,0.415,0.265,0.135,200,"stabilized","ilr"
"SLC40A1",0.608815125532564,0.20165883148436,0.812178682476253,0.403024186181482,0.0404992120126769,0.748033847759993,17,3,19.5125,0.21,0.32,0.05,200,"stabilized","ilr"
"NCOA4",-0.0809362216526408,-0.190325775251689,-0.00521374445687888,0.778163834405195,0.0610426368079097,1,19,4,20,0.07,0.775,0.035,200,"stabilized","ilr"
"STAT3",0.739910414352466,0.59592593060954,0.931051144755989,0.168201218654492,0.0097206009319807,0.330066919943264,10,1,14,0.62,0,0.175,200,"stabilized","ilr"
"JAK2",-1.08569168134942,-1.21036832955024,-0.901543739064128,0.279997762571413,0.0628928900220148,0.426987772243028,14,3,17,0.29,0.005,0.075,200,"stabilized","ilr"
"IFNG",1.0046171095825,0.540964322254532,1.36257199034492,0.126790853924285,0.00533098200556928,0.503615986235338,8,1,18,0.705,0.035,0.335,200,"stabilized","ilr"
"STAT1",-0.404374856093462,-0.626078066146791,-0.251635304599593,0.811450825043589,0.151101760368987,1,19,9.975,20,0.035,0.785,0.015,200,"stabilized","ilr"
"NFE2L2",-0.213801585480635,-0.446008861737197,-0.0712784080337565,0.301450825202919,0.00595496239853729,0.966184247218782,15,1.975,19.0125,0.33,0.24,0.135,200,"stabilized","ilr"
"IL1B",3.71117396662953,3.25510659051385,4.078512365735,0.0546224692562492,0.00169144780746815,0.170263258541528,5,1,9,0.995,0,0.695,200,"stabilized","ilr"
"TNF",2.53585143525711,2.13225482442274,2.78407575439753,0.038848140657045,0.00228245527139154,0.184952029532047,3,1,12,0.975,0,0.74,200,"stabilized","ilr"
"IL6",3.07519282385853,2.42930153327646,3.63265731032272,0.133068934504802,0.0254550870443877,0.314142296022466,8,2,15,0.825,0,0.13,200,"stabilized","ilr"
"CXCL8",2.83183953524408,2.20229907878009,4.26200876959442,0.313135719581036,0.00463866305594992,0.465831113243761,14,1,17,0.305,0.005,0.19,200,"stabilized","ilr"
"NFKB1",1.36889423052967,1.21390731604598,1.55961063925739,0.0479603886095202,0.00367564965800284,0.150976556059433,4,1,10,0.985,0,0.72,200,"stabilized","ilr"
