Gene,Prob_top5_low_CCI,Wilson_95CI_lower,Wilson_95CI_upper,n_bootstrap,n_top5
SLC7A11,0.835,0.7773410172613647,0.8800321587733603,200,167
SLC25A37,0.005,0.0008831459893662054,0.02777439986977148,200,1
FTH1,0.305,0.24536314352669053,0.3719867987814547,200,61
FTL,0.1,0.06566994117157123,0.14940686356308552,200,20
GPX4,0.135,0.09446507976920289,0.18929250455117141,200,27
GCLM,0.15,0.107135265876273,0.20605693826655166,200,30
TFRC,0.04,0.02040538715065641,0.07693293829419882,200,8
HMOX1,0.135,0.09446507976920289,0.18929250455117141,200,27
SLC40A1,0.05,0.027382349028644986,0.08957905629784384,200,10
NCOA4,0.035,0.017055324637357105,0.07047146086668134,200,7
STAT3,0.175,0.12860441174608936,0.23364549210081922,200,35
JAK2,0.075,0.045974507057252416,0.12004459797332034,200,15
IFNG,0.335,0.2732398096874265,0.4029793722656195,200,67
STAT1,0.015,0.005114145184492387,0.043166480556278884,200,3
NFE2L2,0.135,0.09446507976920289,0.18929250455117141,200,27
IL1B,0.695,0.6280132012185453,0.7546368564733095,200,139
TNF,0.74,0.6750912860870691,0.795862631072137,200,148
IL6,0.13,0.09028141365225628,0.18366463072730121,200,26
CXCL8,0.19,0.14167093792456506,0.250013585744794,200,38
NFKB1,0.72,0.6540756858222899,0.7776320715736488,200,144
