"Gene","logFC.unadj","logFC.adj","CCI","CCI_lower_approx","CCI_upper_approx","adj.P.Val.adj","CCI_Rank_Tier","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_variant","CompositionTransform","Seed","N_Bootstrap_Per_Seed","PriorityGene"
"CXCL8",4.12285165493939,2.85888017460246,0.306576997215659,0.0630659773805306,0.550088017050788,1.2416827412168e-06,"Low-moderate",0.313135719581036,0.00463866305594992,0.465831113243761,14,1,17,0.305,0.005,0.19,200,"stabilized","ilr",42,200,FALSE
"CXCL8",4.12285165493939,2.85888017460246,0.306576997215659,0.0630659773805306,0.550088017050788,1.2416827412168e-06,"Low-moderate",0.324676371064598,0.0101621751272751,0.486708125456034,15,1,17.025,0.25,0.02,0.195,200,"stabilized","ilr",2026,200,FALSE
"CXCL8",4.12285165493939,2.85888017460246,0.306576997215659,0.0630659773805306,0.550088017050788,1.2416827412168e-06,"Low-moderate",0.326461526265474,0.00947517915358302,0.477379780745958,15,2,18,0.27,0.02,0.185,200,"stabilized","ilr",31415,200,FALSE
"FTH1",1.13098907409091,0.932775844107163,0.175256538303051,0,0.583011337826987,0.000235602390515072,"Lowest",0.111632568532307,0.00535138300406051,0.282761076652919,7.5,1,13,0.85,0,0.305,200,"stabilized","ilr",42,200,FALSE
"FTH1",1.13098907409091,0.932775844107163,0.175256538303051,0,0.583011337826987,0.000235602390515072,"Lowest",0.118331687473501,0.00931647795245355,0.27610948949931,7,1,13,0.86,0,0.315,200,"stabilized","ilr",2026,200,FALSE
"FTH1",1.13098907409091,0.932775844107163,0.175256538303051,0,0.583011337826987,0.000235602390515072,"Lowest",0.106547184932755,0.00506825824867519,0.277658060677282,7,1,13,0.835,0,0.375,200,"stabilized","ilr",31415,200,FALSE
"FTL",0.291573353848484,0.259782965507698,0.109030499259223,0,1,0.0719455215325955,"Lowest",0.271894099039948,0.0239961352120602,0.770632752000516,13,2,19,0.33,0.165,0.1,200,"stabilized","ilr",42,200,FALSE
"FTL",0.291573353848484,0.259782965507698,0.109030499259223,0,1,0.0719455215325955,"Lowest",0.256708349031252,0.0110063333036613,0.745602587498454,12.5,1,19,0.365,0.155,0.13,200,"stabilized","ilr",2026,200,FALSE
"FTL",0.291573353848484,0.259782965507698,0.109030499259223,0,1,0.0719455215325955,"Lowest",0.244261122715343,0.0164838090112692,0.7657450063125,12,1,19,0.405,0.11,0.13,200,"stabilized","ilr",31415,200,FALSE
"GCLM",1.11430992860606,0.941799273687891,0.154813890184008,0,0.536449612320086,8.82028362928047e-05,"Lowest",0.129961833890237,0.0445135534520929,0.356604645718178,8,3.975,15.025,0.835,0.005,0.15,200,"stabilized","ilr",42,200,FALSE
