"Gene","Seeds","N_Seeds","N_Bootstrap_Per_Seed","Point_CCI","Boot_CCI_median_min","Boot_CCI_median_max","Boot_CCI_rank_median_min","Boot_CCI_rank_median_max","Prob_top5_low_CCI_min","Prob_top5_low_CCI_max","Prob_CCI_lt_0_2_min","Prob_CCI_lt_0_2_max","Prob_CCI_gt_0_5_min","Prob_CCI_gt_0_5_max","Bootstrap_Evaluable_min","Interpretation","PriorityGene"
"SLC7A11","42,2026,31415",3,200,0.0718022816727081,0.0341271401382724,0.0386546657084146,3,3,0.835,0.915,0.995,0.995,0,0,200,"Stable low-CCI rank across seeds",TRUE
"TNF","42,2026,31415",3,200,0.106958179941504,0.038848140657045,0.0478959039858969,3,3,0.69,0.74,0.97,0.985,0,0,200,"Stable low-CCI rank across seeds",TRUE
"NFKB1","42,2026,31415",3,200,0.0798223328009763,0.0479603886095202,0.0530004295720279,4,4,0.71,0.745,0.985,0.995,0,0,200,"Stable low-CCI rank across seeds",TRUE
"IL1B","42,2026,31415",3,200,0.112849017594558,0.0546224692562492,0.0626926840017429,5,5,0.695,0.735,0.99,1,0,0,200,"Stable low-CCI rank across seeds",TRUE
"STAT1","42,2026,31415",3,200,0.865225723890019,0.811450825043589,0.84237604004099,19,19.5,0.01,0.015,0.03,0.035,0.785,0.805,200,"Stable high-CCI across seeds",TRUE
"FTH1","42,2026,31415",3,200,0.175256538303051,0.106547184932755,0.118331687473501,7,7.5,0.305,0.375,0.835,0.86,0,0,200,"Intermediate or seed-sensitive",FALSE
"GCLM","42,2026,31415",3,200,0.154813890184008,0.129961833890237,0.139685794113606,8,8,0.12,0.15,0.815,0.835,0,0.005,200,"Intermediate or seed-sensitive",FALSE
"IFNG","42,2026,31415",3,200,0.186056668974081,0.126790853924285,0.162042885117072,8,9,0.285,0.35,0.555,0.705,0.03,0.09,200,"Intermediate or seed-sensitive",FALSE
"IL6","42,2026,31415",3,200,0.225829066598197,0.133068934504802,0.145509901171948,8,9,0.105,0.13,0.8,0.86,0,0,200,"Intermediate or seed-sensitive",FALSE
"STAT3","42,2026,31415",3,200,0.177657811944033,0.168201218654492,0.188536604650493,10,10,0.135,0.185,0.55,0.62,0,0,200,"Intermediate or seed-sensitive",FALSE
"FTL","42,2026,31415",3,200,0.109030499259223,0.244261122715343,0.271894099039948,12,13,0.1,0.13,0.33,0.405,0.11,0.165,200,"Intermediate or seed-sensitive",FALSE
"SLC25A37","42,2026,31415",3,200,0.1699198840938,0.236524120418443,0.241608840657194,12,12,0.005,0.005,0.21,0.22,0,0.005,200,"Intermediate or seed-sensitive",FALSE
"HMOX1","42,2026,31415",3,200,0.144944682412652,0.272114998954026,0.302215077795653,13,14,0.135,0.145,0.325,0.415,0.2,0.28,200,"Intermediate or seed-sensitive",FALSE
"JAK2","42,2026,31415",3,200,0.242622867359153,0.265945259342587,0.279997762571413,13,14,0.04,0.075,0.245,0.29,0.005,0.01,200,"Intermediate or seed-sensitive",FALSE
"TFRC","42,2026,31415",3,200,0.128799472032419,0.247350022635165,0.280489722073487,13,13,0.04,0.045,0.295,0.33,0.02,0.035,200,"Intermediate or seed-sensitive",FALSE
"CXCL8","42,2026,31415",3,200,0.306576997215659,0.313135719581036,0.326461526265474,14,15,0.185,0.195,0.25,0.305,0.005,0.02,200,"Intermediate or seed-sensitive",FALSE
"GPX4","42,2026,31415",3,200,0.241582178519494,0.255173203903933,0.353830709841424,14,15,0.09,0.135,0.29,0.385,0.24,0.275,200,"Intermediate or seed-sensitive",FALSE
"NFE2L2","42,2026,31415",3,200,0.0852332845317535,0.301450825202919,0.310894198906537,15,15,0.115,0.135,0.33,0.355,0.24,0.27,200,"Intermediate or seed-sensitive",FALSE
"SLC40A1","42,2026,31415",3,200,0.526855496113546,0.3986551873714,0.424728692438626,16,17,0.05,0.1,0.17,0.21,0.305,0.345,200,"Intermediate or seed-sensitive",FALSE
"NCOA4","42,2026,31415",3,200,0.721741784446244,0.727113500046398,0.793599830316637,19,19,0.015,0.035,0.055,0.07,0.765,0.805,200,"Stable high-CCI across seeds",FALSE
