Rank,Gene,logFC_CADE,FDR_CADE,In_paper_pathway_list,In_ferroptosis_panel
1,TP53INP2,2.453375686,1.32138185316544e-18,False,False
2,SLC7A5,2.33831592406061,1.28038753034959e-17,False,False
3,B3GNT5,2.30105014987879,1.3216258908244101e-17,False,False
4,SERPINB2,3.98259271845455,1.3216258908244101e-17,False,False
5,OLR1,4.31372729142424,1.5281744375622202e-15,False,False
6,RTN1,-2.58331977630303,1.7749845324860102e-15,False,False
7,SLC6A6,2.74263132260606,1.7749845324860102e-15,False,False
8,CD83,2.15129351593939,1.9011026625715603e-15,False,False
9,FNDC3B,2.87109278290909,1.9011026625715603e-15,False,False
10,PFKFB3,0.934034374666667,2.64486306466791e-15,False,False
11,HVCN1,-1.51330992924242,3.62965860678089e-15,False,False
12,CXCL3,5.25941134772727,6.1013905108500105e-15,False,False
13,SLC2A3,1.41972089745455,1.21301415706204e-14,False,False
14,KDM7A,1.35717124839394,1.3335115014060801e-14,False,False
15,PIM3,1.14656910512121,1.37021167761103e-14,False,False
16,JOSD1,1.17531063663636,1.37021167761103e-14,False,False
17,MAFF,2.87509048912121,1.68969989340382e-14,False,False
18,SNX9,1.96135956298788,3.8044185220132303e-14,False,False
19,IVNS1ABP,1.81009977690909,3.8044185220132303e-14,False,False
20,CACNA2D3,-2.70220438678788,3.9945891892258404e-14,False,False
