"Seed","Gene","CCI"
42,"TMC7",0.678771891149227
42,"LINC00708",0.298945736044315
42,"ATG13",0.406379380758757
42,"RESF1",0.134009357186286
42,"KRTAP4-2",0.54758017548542
42,"LOC101928565",1
42,"PAPOLA-DT",0.146130417355034
42,"POLR2J4",0.558845571970598
42,"SIRT5",0.395512523695233
42,"IBTK",1
42,"CYB561D2",0.266914970256261
42,"LIN7A",1
42,"EXOC4",0.105539308541812
42,"APOOL",0.373806465960094
42,"RGS12",0.777066692107133
42,"WRNIP1",1
42,"MYH4",0.126632619625341
42,"ADAM12",0.161547664158506
42,"AGTPBP1",0.662225441015471
42,"PCGF6",0.732122262863991
42,"HEY2",0.835410967788785
42,"CCDC70",0.427796345764194
42,"LINC00458",0.347926065365918
42,"IFT140",1
42,"TIMM22",0.684947295000197
42,"CCNYL1",0.304061825216503
42,"SCP2D1-AS1",0.760321910743224
42,"MIR622",0.440949311710354
42,"MARS2",0.640439764889307
42,"SLC67A2",0.306985765562532
42,"AQP12B",0.84531628482686
42,"MGST3",0.328184282010072
42,"SLC35G3",1
42,"DHRS13",0.741626101669478
42,"NDUFAF6",0.808134360984324
42,"SRRM3",0.0313483701417129
42,"NLRP3",0.122239281338167
42,"RNF185",0.335621269407869
42,"CEACAM19",0.201647522240719
42,"LINC00528",0.0313595234219241
42,"PLEKHN1",0.54284117185078
42,"NTSR2",1
42,"POM121L10P",0.759677687108758
42,"AJM1",0.283256866914256
42,"ZSCAN25",0.0683293282565755
42,"ABI1",0.393410817536217
42,"ESS2",1
42,"LOC101929621",0.58195088593673
42,"LINC01551",0.039661048912584
42,"SUV39H1",0.606184901585431
42,"DCTN6",0.388780074602533
42,"RASGEF1A",0.43393710984961
42,"FGFBP1",0.762845282121196
42,"FAM241B",0.720202919569714
42,"USP3-AS1",0.478302816752481
42,"LYPLA1",1
42,"AADAT",0.7408656851135
42,"PDE11A",0.300052131117591
42,"RASSF9",0.452908969674711
42,"ARHGAP11A",1
42,"RPUSD4",0.93367730092187
42,"IGF1",0.229759243542437
42,"JARID2-AS1",0.686678016021034
42,"PLXNA2",0.00207252806195638
42,"PLIN5",0.21873277135234
42,"RNF103",0.603379000690265
42,"RAPGEF1",0.141431214583993
