"bias_percent","replicate","method","auroc_true_de","auprc_true_de","composition_fp_fraction_top100","cci_stable_vs_composition_auc","runtime_sec"
0,1,"limma",1,1,0.04,NA,0.0179999999999998
0,1,"limma+marker",1,1,0.04,NA,0.0209999999999999
0,1,"limma+SVA",1,1,0.05,NA,0.139
0,1,"limma+RUVg",1,1,0.09,NA,0.0859999999999994
0,1,"matched-NNLS+limma",1,1,0.03,NA,0.0109999999999992
0,1,"mismatched-NNLS+limma",1,1,0.04,NA,0.0129999999999999
0,1,"oracle-proportion+limma",1,1,0.04,NA,0.0119999999999987
0,1,"CADE-lite",1,1,0.04,0.981274999999999,0.0310000000000006
0,1,"CADE-full",1,1,0.05,0.977574999999999,0.0199999999999996
0,1,"CADE-ILR",1,1,0.04,0.975099999999999,0.0199999999999996
0,2,"limma",1,1,0.01,NA,0.011000000000001
0,2,"limma+marker",1,1,0.02,NA,0.0129999999999999
0,2,"limma+SVA",1,1,0.03,NA,0.149999999999999
0,2,"limma+RUVg",1,1,0.03,NA,0.109
0,2,"matched-NNLS+limma",1,1,0.03,NA,0.0120000000000005
0,2,"mismatched-NNLS+limma",1,1,0.04,NA,0.0120000000000005
0,2,"oracle-proportion+limma",1,1,0.03,NA,0.0140000000000011
0,2,"CADE-lite",1,1,0.02,0.988275,0.0389999999999997
0,2,"CADE-full",1,1,0.03,0.987425,0.0219999999999985
0,2,"CADE-ILR",1,1,0.02,0.98855,0.0249999999999986
0,3,"limma",1,1,0.02,NA,0.00900000000000034
0,3,"limma+marker",1,1,0.03,NA,0.0120000000000005
0,3,"limma+SVA",1,1,0.02,NA,0.125
0,3,"limma+RUVg",1,1,0.02,NA,0.0839999999999996
0,3,"matched-NNLS+limma",1,1,0.04,NA,0.0120000000000005
0,3,"mismatched-NNLS+limma",1,1,0.04,NA,0.0120000000000005
0,3,"oracle-proportion+limma",1,1,0.03,NA,0.0120000000000005
0,3,"CADE-lite",1,1,0.03,0.98605,0.0189999999999984
0,3,"CADE-full",1,1,0.03,0.97505,0.0180000000000007
0,3,"CADE-ILR",1,1,0.03,0.98485,0.022000000000002
25,1,"limma",1,1,0.19,NA,0.00799999999999912
25,1,"limma+marker",1,1,0.02,NA,0.0119999999999969
25,1,"limma+SVA",1,1,0.2,NA,0.132999999999999
25,1,"limma+RUVg",1,1,0.2,NA,0.0810000000000031
25,1,"matched-NNLS+limma",1,1,0.02,NA,0.0120000000000005
25,1,"mismatched-NNLS+limma",1,1,0.03,NA,0.0110000000000028
25,1,"oracle-proportion+limma",1,1,0.02,NA,0.0109999999999992
25,1,"CADE-lite",1,1,0.02,0.9799,0.0209999999999972
25,1,"CADE-full",1,1,0.02,0.98155,0.0199999999999996
25,1,"CADE-ILR",1,1,0.02,0.9812,0.0200000000000031
25,2,"limma",1,1,0.2,NA,0.00999999999999801
25,2,"limma+marker",1,1,0.04,NA,0.0109999999999992
25,2,"limma+SVA",1,1,0.2,NA,0.16
25,2,"limma+RUVg",1,1,0.2,NA,0.0939999999999976
25,2,"matched-NNLS+limma",1,1,0.01,NA,0.0129999999999981
25,2,"mismatched-NNLS+limma",1,1,0.01,NA,0.0120000000000005
25,2,"oracle-proportion+limma",1,1,0.01,NA,0.0120000000000005
25,2,"CADE-lite",1,1,0.04,0.976749999999999,0.019999999999996
25,2,"CADE-full",1,1,0.03,0.9784,0.0189999999999984
25,2,"CADE-ILR",1,1,0.04,0.972675,0.0219999999999985
25,3,"limma",1,1,0.2,NA,0.00799999999999557
25,3,"limma+marker",1,1,0.03,NA,0.0120000000000005
