Table_Caption,"Table 2: CADE composition-adjusted differential expression for ferroptosis, iron metabolism, and immune signaling genes"
Gene,logFC Raw,logFC Adjusted,CCI,P_two_sided,FDR_two_sided,FDR Adjusted,CCI Rank
*SLC7A11*,+3.282,+3.067,0.065,0.097,0.369,0.022,Lowest
*IFNG*,+1.084,+1.119,0.032,0.077,0.369,0.445,Lowest
*TFRC*,+0.831,+0.788,0.053,0.078,0.369,0.156,Lowest
*FTH1*,+1.131,+1.225,0.083,0.147,0.399,0.033,Lowest
*TNF*,+2.616,+2.177,0.168,0.236,0.499,0.026,Lowest
*IL1B*,+3.923,+3.055,0.221,0.233,0.499,0.013,Low-moderate
*NFKB1*,+1.427,+1.035,0.274,0.409,0.778,0.050,Low-moderate
*FTL*,+0.292,+0.198,0.320,0.618,0.846,0.644,Low-moderate
*STAT3*,+0.890,+0.564,0.366,0.826,0.957,0.392,Low-moderate
*JAK2*,-0.848,-1.179,0.390,0.968,0.968,0.045,Low-moderate
*NFE2L2*,-0.232,-0.125,0.462,0.907,0.957,0.872,Low-moderate
*CXCL8*,+4.123,+1.995,0.516,0.599,0.846,0.236,High
*SLC25A37*,+2.603,+1.235,0.525,0.485,0.837,0.123,Low-moderate*
*SLC40A1*,+0.466,+0.214,0.541,0.646,0.846,0.861,High
*IL6*,+3.542,+1.344,0.621,0.892,0.957,0.564,High
*GPX4*,+0.352,+0.602,0.710,0.141,0.399,0.272,High
*GCLM*,+1.114,+0.064,0.942,0.668,0.846,0.940,High
*HMOX1*,+0.278,+0.842,1.000,0.055,0.369,0.264,High
*STAT1*,-0.223,-0.714,1.000,0.091,0.369,0.354,High
*NCOA4*,-0.003,-0.244,NA,NA,NA,0.241,Low expr.
